NUMBER OF ITEMS,LENGHT,WIDTH,HEIGHT,WEIGHT,VOLUME,STACKABLE,UNLOADING ORDER,PRIORITY,TAXABILITY,LOADED,LOADING RULES,COUNTRY RULES,CUSTOMER-PARTNER RULES,SENDER RULES,CONSIGNEE RULES,TRAFFIC LINE,GOODS,YEAR,BRANCH,SHIPMENT,KIND OF PACKAGE,SENDER,CONSIGNEE,ZIP,NATION,TRAFFIC LINE,TRUCK YEAR,TRUCK BRANCH,TRUCK NUMBER,KIND OF TRUCK
2,80,120,110,1155,1.056,1,2,9,1200,1, , , , , ,E23,SALDATURE,2019,01,204317,PAL,FIDAT S.R.L.,COMERCIAL DE SOLDADURA S.A.,08110,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,48,360.8,0.4608,1,2,2,600,1, , , , , ,E23,Merce varia,2019,01,204561,PAL,INOX LAGHI SRL,CUNADO S.A.,08070,ES,E23,2019,01,38937,AUTOTRENO
1,120,100,110,360.8,1.32,1,2,2,600,1, , , , , ,E23,Merce varia,2019,01,204561,PAL,INOX LAGHI SRL,CUNADO S.A.,08070,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,85,369,0.816,1,2,2,400,1, , , , , ,E23,Merce varia,2019,01,204564,PAL,INOX LAGHI SRL,AINOX SUBMINISTRAMENTS SLU,25190,ES,E23,2019,01,38937,AUTOTRENO
1,160,100,100,250,1.6,1,2,1,500,1, , , , , ,E23,Merce varia,2019,01,204859,PAL,TESSITURA FIBRE ARTIFICIALI A. LAZZATI & C. SRL ,ROMATEX SPORT,08040,ES,E23,2019,01,38937,AUTOTRENO
1,40,30,20,12,0.024,1,2,1,100,1, , , , , ,E23,Merce varia,2019,01,204865,SCA,OEMER MOTORI ELETTRICI,DIMOTOR,08210,ES,E23,2019,01,38937,AUTOTRENO
2,80,120,105,560,1.008,1,2,9,700,1, , , , , ,E23,Merce varia,2019,01,204868,PAL,HTP HIGH TECH PRODUCTS S.R.L.,SICONTROL S.L.,08224,ES ,E23,2019,01,38937,AUTOTRENO
3,80,120,200,1173.7,1.92,1,2,9,2200,1, , , , , ,E23,Merce varia,2019,01,204879,PLT,ESSEGOMMA SPA,EXIT SOLUTIONS SL ,08223,ES,E23,2019,01,38937,AUTOTRENO
1,95,120,135,1173.7,1.539,1,2,9,2200,1, , , , , ,E23,Merce varia,2019,01,204879,PLT,ESSEGOMMA SPA,EXIT SOLUTIONS SL ,08223,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,80,170,0.768,1,2,2,300,1, , , , , ,E23,Merce varia,2019,01,204881,PAL,RE ELETTRONICA INDUSTRIALE,PUERTAS PRISMA SL,08670,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,70,106.8,0.672,1,2,9,300,1, , , , , ,E23,Merce varia,2019,01,204890,PAL,TINTORIA DI VERRONE SRL,BUCOFABRICS XX,08610,ES,E23,2019,01,38937,AUTOTRENO
3,120,80,100,1512,0.96,1,2,1,1600,1, , , , , ,E23,Merce varia,2019,01,205180,PAL,ORANGE 1 ELECTRIC MOTORS SPA,"DIMOTOR,S.A",08202,ES,E23,2019,01,38937,AUTOTRENO
1,80,60,53,44.5,0.2544,1,2,1,100,1, , , , , ,E23,ACCESSORI MOTORI ELETTRICI,2019,01,205186,PAL,FIAME SRL,VERNIS MOTORS S.L.,08205,ES,E23,2019,01,38937,AUTOTRENO
3,53,65,46,45.46,0.15847,1,2,9,200,1, , , , , ,E23,Merce varia,2019,01,205204,COL,SOGEDIM,SAULA,08980,ES,E23,2019,01,38937,AUTOTRENO
1,60,40,40,45,0.096,1,2,9,100,1, , , , , ,E23,Merce varia,2019,01,205285,PAL,LP UNIONS SRL,REDFLUID S.L.,08227,ES,E23,2019,01,38937,AUTOTRENO
3,38,29,19,39.61,0.020938,1,2,9,100,1, , , , , ,E23,ACCESSORI MOBILI,2019,01,205334,COL,FGV FORMENTI & GIOVENZANA SPA,INDUSTRIAS COSMIC SA,08140,ES,E23,2019,01,38937,AUTOTRENO
1,80,60,55,72,0.264,1,2,9,100,1, , , , , ,E23,RESISTORI A FILO,2019,01,205336,PAL,S.I.R. SOC. ITALIANA RESISTORS SAS,RECTIFICADORES GUASCH SA,08005,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,90,415,0.864,1,2,9,500,1, , , , , ,E23,Merce varia,2019,01,205457,PAL,VERNITES S.R.L.,VERNICOLORS SL,08500,ES,E23,2019,01,38937,AUTOTRENO
1,80,60,80,85,0.384,1,2,9,200,1, , , , , ,E23,Merce varia,2019,01,205469,PAL,GECA S.R.L.,SALVADOR ESCODA S.A.,08820,ES,E23,2019,01,38937,AUTOTRENO
2,40,50,35,43,0.07,1,2,9,100,1, , , , , ,E23,Merce varia,2019,01,205486,COL,MORETTI ,BINSA,08750,ES,E23,2019,01,38937,AUTOTRENO
1,100,120,170,210,2.04,1,2,1,1100,1, , , , , ,E23,Merce varia,2019,01,205576,PAL,KUNZI SPA,ASM,08908,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,210,1.44,1,2,1,1100,1, , , , , ,E23,Merce varia,2019,01,205576,PAL,KUNZI SPA,ASM,08908,ES,E23,2019,01,38937,AUTOTRENO
1,100,120,190,160,2.28,1,2,1,700,1, , , , , ,E23,Merce varia,2019,01,205578,PAL,CO INGROS TEX SNC,ASM,08908,ES,E23,2019,01,38937,AUTOTRENO
1,62,50,73,38,0.2263,1,2,9,100,1, , , , , ,E23,Merce varia,2019,01,205579,PAL,ARTEN SRL,MARLIA INGENIEROS,08202,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,180,181.6,1.728,1,2,1,700,1, , , , , ,E23,Merce varia,2019,01,205581,PAL,ECILOG SRL   ---- PRIVALIA -------,ASM,08908,ES,E23,2019,01,38937,AUTOTRENO
1,80,60,90,181.6,0.432,1,2,1,700,1, , , , , ,E23,Merce varia,2019,01,205581,PAL,ECILOG SRL   ---- PRIVALIA -------,ASM,08908,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,180,100,1.728,1,2,1,600,1, , , , , ,E23,Merce varia,2019,01,205584,PAL,ECILOG SRL   ---- PRIVALIA -------,CORREOS,08040,ES,E23,2019,01,38937,AUTOTRENO
5,150,20,20,40,0.06,1,2,9,100,1, , , , , ,E23,Merce varia,2019,01,205605,ROT,FINISSCOMO SRL,TEXTIL SETTAM S.A.,08030 ,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,75,55.2,0.72,1,2,2,300,1, , , , , ,E23,Merce varia,2019,01,205828,PAL,FIASCONARO S.R.L.,DOLCE & GABBANA SPAIN SL,08006,ES,E23,2019,01,38937,AUTOTRENO
1,105,255,20,60,0.5355,1,2,1,200,1, , , , , ,E23,Merce varia,2019,01,205842,PAL,SPAA SRL,RESA EXPO LOGISTICS P/CUENTA DE SCH,08908,ES,E23,2019,01,38937,AUTOTRENO
1,30,40,40,32.5,0.048,1,2,9,100,1, , , , , ,E23,Merce varia,2019,01,206002,CAR,MACO S.R.L.,FERGARCIA S.A. (*),43560,ES,E23,2019,01,38937,AUTOTRENO
1,20,20,35,32.5,0.014,1,2,9,100,1, , , , , ,E23,Merce varia,2019,01,206002,CAR,MACO S.R.L.,FERGARCIA S.A. (*),43560,ES,E23,2019,01,38937,AUTOTRENO
1,110,80,120,826,1.056,1,2,1,900,1, , , , , ,E23,Merce varia,2019,03,3040370,PLT,NIDEC FIR SRL,GMV EUROLIFT ,08769,ES,E23,2019,01,38937,AUTOTRENO
1,100,120,230,1090,2.76,1,2,1,1400,1, , , , , ,E23,PROFILI E PARTI MOBILI,2019,03,3040579,PLT,VOLPATO INDUSTRIE SPA (R),LLOBREGAT EQUIPAMIENTOS DE COCINAS S.L.,08150,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,150,1090,1.44,1,2,1,1400,1, , , , , ,E23,PROFILI E PARTI MOBILI,2019,03,3040579,PLT,VOLPATO INDUSTRIE SPA (R),LLOBREGAT EQUIPAMIENTOS DE COCINAS S.L.,08150,ES,E23,2019,01,38937,AUTOTRENO
5,400,20,10,1090,0.08,1,2,1,1400,1, , , , , ,E23,PROFILI E PARTI MOBILI,2019,03,3040579,PLT,VOLPATO INDUSTRIE SPA (R),LLOBREGAT EQUIPAMIENTOS DE COCINAS S.L.,08150,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,168,610,1.6128,1,2,1,900,1, , , , , ,E23,Merce varia,2019,04,4040624,PAL,ACME DRUGS SRL,PICKING FARMA SA,08130,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,144,610,1.3824,1,2,1,900,1, , , , , ,E23,Merce varia,2019,04,4040624,PAL,ACME DRUGS SRL,PICKING FARMA SA,08130,ES,E23,2019,01,38937,AUTOTRENO
1,180,160,100,239.58,2.88,1,2,1,900,1, , , , , ,E23,Merce varia,2019,04,4040659,PAL,CONTROLLO E LOGISTICA TESSUTI,CORTE TEXTIL BCN ,08203,ES,E23,2019,01,38937,AUTOTRENO
1,120,80,40,76,0.384,1,2,1,200,1, , , , , ,E23,Merce varia,2019,04,4040781,PAL,CHEMIVIT,MASKOKOTAS SL,08450,ES,E23,2019,01,38937,AUTOTRENO
1,66,42,37,35,0.102564,1,1,1,100,1, , , , , ,E23,Merce varia,2019,04,4040905,PAL,FRANCIA VANNI & SILVANO,TERCESA,08915,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,302,1.44,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026237,PAL,Z&W,MULTIPRECIO BAISHENG S. L. ,43580,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,130,400,1.248,1,2,3,400,1, , , , , ,E23,Merce varia,2019,07,7026241,PAL,Z&W,HIPER ASIATICO 2010 SL DI PANYONGGUO,08700,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,345,1.44,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026261,PLT,Z&W,JIANGLINGFENG,08185,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,120,165,1.152,1,2,3,400,1, , , , , ,E23,Merce varia,2019,07,7026596,PAL,Z&W,HIPER DELICIAS HOGAR SL,50010,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,140,212,1.344,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026604,PAL,Z&W,DISYAN FOOD SL,17460,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,166,1.44,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026605,PAL,Z&W,HIPERASIA JIAHENG SL,08960,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,120,202,1.152,1,2,3,400,1, , , , , ,E23,Merce varia,2019,07,7026606,PLT,Z&W,NUEVA MINI CASA SL,08930,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,455,1.44,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026609,PLT,Z&W,XINA CENTER DOS SL,17200,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,390,1.44,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026612,PLT,Z&W,XINA CENTER SL,08243,ES,E23,2019,01,38937,AUTOTRENO
1,80,120,150,211,1.44,1,2,3,500,1, , , , , ,E23,Merce varia,2019,07,7026617,PLT,Z&W,XINA CENTER REUS XULI SL,43204,ES,E23,2019,01,38937,AUTOTRENO
1,90,70,50,356.84,0.315,1,1,9,400,1, , , , , ,E23,Merce varia,2019,04,4040903,PAL,PASTORE & LOMBARDI SPA,HAPPICH RIU S.A (PROV.199),08918,ES,E23,2019,04,11372,AUTOTRENO
1,253,45,38,356.84,0.43263,1,1,9,400,1, , , , , ,E23,Merce varia,2019,04,4040903,PAL,PASTORE & LOMBARDI SPA,HAPPICH RIU S.A (PROV.199),08918,ES,E23,2019,04,11372,AUTOTRENO
1,240,10,10,356.84,0.024,1,1,9,400,1, , , , , ,E23,Merce varia,2019,04,4040903,PAL,PASTORE & LOMBARDI SPA,HAPPICH RIU S.A (PROV.199),08918,ES,E23,2019,04,11372,AUTOTRENO
1,130,80,55,50,0.572,1,1,9,200,1, , , , , ,E23,Merce varia,2019,04,4041041,PAL,FC SRL,SUMICRIS **VIERNES TARDE CERRADOS**,08028,ES,E23,2019,04,11372,AUTOTRENO
1,80,40,45,80.5,0.144,1,1,9,100,1, , , , , ,E23,Merce varia,2019,04,4041051,PAL,BRAGLIA SRL,ILEMO HARDI SAU,25191,ES,E23,2019,04,11372,AUTOTRENO
1,70,80,75,254,0.42,1,1,9,300,1, , , , , ,E23,Merce varia,2019,04,4041115,PAL,BELTRAMI,VARIE SPAGNA,48195,ES,E23,2019,04,11372,AUTOTRENO
1,120,80,80,553,0.768,1,1,9,600,1, , , , , ,E23,Merce varia,2019,04,4041164,PAL,CERAMICHE MUTINA S.P.A.,AZUL ACOCSA,08029,ES,E23,2019,04,11372,AUTOTRENO
2,215,80,25,900,0.43,1,1,9,900,1, , , , , ,E23,Merce varia,2019,04,4041166,PAL,ADORNI VITTORINO DI ADORII MARCO &C. SNC,PUERTAS PRISMA,08670,ES,E23,2019,04,11372,AUTOTRENO
1,55,40,40,30,0.088,1,1,9,100,1, , , , , ,E23,Merce varia,2019,04,4041220,PAL,OLMEC SRL,HYDBA ELEMENTOS HIDRAULICOS Y SISTE,08292,ES,E23,2019,04,11372,AUTOTRENO
1,200,80,40,45,0.64,1,1,9,200,1, , , , , ,E23,Merce varia,2019,04,4041227,PAL,GIACOBAZZI PARQUET ,AZUL ACOCSA,08029,ES,E23,2019,04,11372,AUTOTRENO
2,120,80,100,960,0.96,1,1,9,1000,1, , , , , ,E23,Merce varia,2019,04,4041234,PAL,RICA RESINE,SAINT GOBAIN WEBER,08110,ES,E23,2019,04,11372,AUTOTRENO
1,120,83,45,45,0.4482,1,1,9,200,1, , , , , ,E23,Merce varia,2019,04,4041389,PAL,BIEFFE ITALIA,OZOSYSTEMS COMPORATION SL,08253,ES,E23,2019,04,11372,AUTOTRENO
1,190,95,35,77.3,0.63175,1,1,9,200,1, , , , , ,E23,Merce varia,2019,04,4041399,PAL,CONTROLLO E LOGISTICA TESSUTI,CREACIONES Y DISENO MITJANS SL,08223,ES,E23,2019,04,11372,AUTOTRENO
1,82,54,68,57,0.301104,1,1,9,100,1, , , , , ,E23,Merce varia,2019,04,4041400,PAL,BORELLI OLOEDINAMICA,INTERSEAL S.A.,08820,ES,E23,2019,04,11372,AUTOTRENO
1,120,80,50,50,0.48,1,1,9,200,1, , , , , ,E23,Merce varia,2019,04,4041405,PAL,CANZIAN SRL,PUERTAS PRISMA,08670,ES,E23,2019,04,11372,AUTOTRENO
2,115,82,54,870,0.50922,1,1,9,1600,1, , , , , ,E23,Merce varia,2019,04,4041406,COL,SPAL AUTOMOTIVE,TERMBUS S.L.,08960,ES,E23,2019,04,11372,AUTOTRENO
1,79,59,84,870,0.391524,1,1,9,1600,1, , , , , ,E23,Merce varia,2019,04,4041406,COL,SPAL AUTOMOTIVE,TERMBUS S.L.,08960,ES,E23,2019,04,11372,AUTOTRENO
4,115,82,104,870,0.98072,1,1,9,1600,1, , , , , ,E23,Merce varia,2019,04,4041406,PAL,SPAL AUTOMOTIVE,TERMBUS S.L.,08960,ES,E23,2019,04,11372,AUTOTRENO
1,80,65,60,113,0.312,1,1,9,200,1, , , , , ,E23,Merce varia,2019,04,4041440,PAL,NERI MOTORI,DIMOTOR,08210,ES,E23,2019,04,11372,AUTOTRENO
1,80,120,150,100,1.44,1,1,3,500,0, , , , , ,E23,Merce varia,2019,01,202762,PAL,SAVORETTI ARMANDO &C. S.N.C.,IMNASA,17457,ES,E23,0,0,0,
1,120,80,180,231,1.728,1,1,3,600,0, , , , , ,E23,Merce varia,2019,01,202847,PAL,ULTRAFLEX,IMNASA,17457,ES,E23,0,0,0,
2,74,60,38,130,0.16872,1,1,3,300,0, , , , , ,E23,Merce varia,2019,01,203947,COL,ING. RUGGERO VIO SRL,IMNASA,17457,ES,E23,0,0,0,
2,62,42,82,130,0.213528,1,1,3,300,0, , , , , ,E23,Merce varia,2019,01,203947,COL,ING. RUGGERO VIO SRL,IMNASA,17457,ES,E23,0,0,0,
1,82,42,42,130,0.144648,1,1,3,300,0, , , , , ,E23,Merce varia,2019,01,203947,COL,ING. RUGGERO VIO SRL,IMNASA,17457,ES,E23,0,0,0,
1,30,40,30,5,0.036,1,1,3,100,0, , , , , ,E23,Merce varia,2019,01,204448,CAR,BESENZONI SPA,IMNASA,17457,ES,E23,0,0,0,
1,80,120,150,100,1.44,1,1,3,500,0, , , , , ,E23,Merce varia,2019,01,204539,PAL,ECILOG SRL   ---- PRIVALIA -------,CORREOS,08040,ES,E23,0,0,0,
1,40,40,40,10.6,0.064,1,1,3,100,0, , , , , ,E23,Merce varia,2019,01,204876,SCA,PRATO CORDE 2010 SRL,PUJOL J,08016,ES,E23,0,0,0,
1,33,20,25,4,0.0165,1,1,3,100,0, , , , , ,E23,Merce varia,2019,01,204878,COL,GIANNESCHI PUMPS AND BLOWERS SRL,IMNASA,17457,ES,E23,0,0,0,
1,80,120,80,135.4,0.768,1,1,3,300,0, , , , , ,E23,Merce varia,2019,01,205047,PAL,GICAR S. R. L.,IBERITAL DE RECAMBIOS,08980,ES,E23,0,0,0,
2,80,120,175,220,1.68,1,1,3,1100,0, , , , , ,E23,Merce varia,2019,01,205098,PAL,DOGA ITALIA SRL,DOGA SA,08630,ES,E23,0,0,0,
2,120,80,170,1900,1.632,1,1,3,1900,0, , , , , ,E23,Merce varia,2019,01,205332,PAL,AEFFE MACHINERY SRL,COMERCIAL QUIMATEX S.L.,03203,ES,E23,0,0,0,
2,70,70,60,281,0.294,1,1,3,300,0, , , , , ,E23,Merce varia,2019,01,205339,PAL,KU DISTRIBUTION SRL,CAROL AUTOMATISMOS IGUALADA,08700,ES,E23,0,0,0,
1,67,47,45,25,0.141705,1,1,3,100,0, , , , , ,E23,SALDATRICI,2019,01,205474,PAL,GEM S.R.L.,TECSOLDA *CAMION PLAT - VIERNES 8-1,08292,ES,E23,0,0,0,
1,77,34,21,9.2,0.054978,1,1,3,100,0, , , , , ,E23,Merce varia,2019,01,205624,COL,CANEPA SPA,SERGIO VALORIA PULIDO,08759,ES,E23,0,0,0,
1,160,10,10,9.2,0.016,1,1,3,100,0, , , , , ,E23,Merce varia,2019,01,205624,COL,CANEPA SPA,SERGIO VALORIA PULIDO,08759,ES,E23,0,0,0,
1,230,170,90,1600,3.519,1,1,3,2200,0, , , , , ,E23,RICAMBI FERROVIARI,2019,01,205744,CAS,ALSTOM FERROVIARIA SPA,ALSTOM  TRANSPORTE SA,08130,ES,E23,0,0,0,
1,230,170,90,1600,3.519,1,1,3,2200,0, , , , , ,E23,RICAMBI FERROVIARI,2019,01,205744,CAS,ALSTOM FERROVIARIA SPA,ALSTOM  TRANSPORTE SA,08130,ES,E23,0,0,0,
1,120,120,80,330,1.152,1,1,3,400,0, , , , , ,E23,Merce varia,2019,03,3040633,PLT,ICE SRL,FERMO DEPOSITO BARCELONA,08,ES,E23,0,0,0,
4,120,80,130,1568,1.248,1,1,3,2000,0, , , , , ,E23,GUARNIZIONI ADDOLCITORI ACQUA,2019,03,3040642,PLT,G.S. GUARNIGOM di Sabatini G.,IBERITAL DE RECAMBIOS S.A.,08980,ES,E23,0,0,0,
1,120,80,155,1568,1.488,1,1,3,2000,0, , , , , ,E23,GUARNIZIONI ADDOLCITORI ACQUA,2019,03,3040642,PLT,G.S. GUARNIGOM di Sabatini G.,IBERITAL DE RECAMBIOS S.A.,08980,ES,E23,0,0,0,
29,0,0,0,181.1,0,1,1,3,2000,0, , , , , ,E23,Merce varia,2019,03,3040758,PLT,ROLLING PLAST SRL (R),CENFIM INNOVACION EN HABITAT,43560,ES,E23,0,0,0,
1,65,50,60,80,0.195,1,1,3,100,0, , , , , ,E23,Merce varia,2019,03,3040785,PLT,AACO MANUFACTURING SRL (R),ARBO IBERICA  (consegna),08110,ES,E23,0,0,0,
1,80,60,60,65,0.288,1,1,3,100,0, , , , , ,E23,Merce varia,2019,03,3040826,PLT,ADIMAC SRL,HUAYI COMPRESSOR  XX,08192,ES,E23,0,0,0,
1,62,62,130,160,0.49972,1,1,3,200,0, , , , , ,E23,Merce varia,2019,03,3040828,PLT,AMG SPA (R),ARBO IBERICA  (consegna),08110,ES,E23,0,0,0,
1,170,80,140,220,1.904,1,1,3,2100,0, , , , , ,E23,Merce varia,2019,03,3040936,COL,WINGS,.,.,ES,E23,0,0,0,
1,170,110,150,220,2.805,1,1,3,2100,0, , , , , ,E23,Merce varia,2019,03,3040936,COL,WINGS,.,.,ES,E23,0,0,0,
1,155,85,160,220,2.108,1,1,3,2100,0, , , , , ,E23,Merce varia,2019,03,3040936,COL,WINGS,.,.,ES,E23,0,0,0,
1,0,0,0,81,0,1,1,3,100,0, , , , , ,E23,Merce varia,2019,03,3040948,COL,ITALFELTRI SRL,FERGARCIA S.A. (*),43560,ES,E23,0,0,0,
1,80,60,50,134,0.24,1,1,3,200,0, , , , , ,E23,Merce varia,2019,03,3041020,PLT,GAV (R),SICONTROL S.L.,08224,ES ,E23,0,0,0,
1,120,80,157,893,1.5072,1,1,3,900,0, , , , , ,E23,Merce varia,2019,03,3041027,PAL,CIMM S.P.A. (R),DRAC SL,08110,ES,E23,0,0,0,
1,120,80,111,893,1.0656,1,1,3,900,0, , , , , ,E23,Merce varia,2019,03,3041027,PAL,CIMM S.P.A. (R),DRAC SL,08110,ES,E23,0,0,0,
1,0,0,0,47,0,1,1,3,100,0, , , , , ,E23,Merce varia,2019,03,3041052,COL,TECNOINOX S.R.L. (R),CRYSTAL LINE,46970,ES,E23,0,0,0,
1,170,170,240,400,6.936,1,1,3,2100,0, , , , , ,E23,Merce varia,2019,03,3041073,COL,INOX FONDI SRL UNIPERSONALE (R),VARIE SPAGNA - TERRASSA,08223,ES,E23,0,0,0,
1,120,100,120,100,1.44,1,1,3,500,0, , , , , ,E23,Merce varia,2019,04,4041408,PAL,DENA GROUP SRL,ARBO IBERICA,08110,ES,E23,0,0,0,
