NUMBER OF ITEMS,LENGHT,WIDTH,HEIGHT,WEIGHT,VOLUME,STACKABLE,UNLOADING ORDER,PRIORITY,TAXABILITY,LOADED,LOADING RULES,COUNTRY RULES,CUSTOMER-PARTNER RULES,SENDER RULES,CONSIGNEE RULES,TRAFFIC LINE,GOODS,YEAR,BRANCH,SHIPMENT,KIND OF PACKAGE,SENDER,CONSIGNEE,ZIP,NATION,TRAFFIC LINE,TRUCK YEAR,TRUCK BRANCH,TRUCK NUMBER,KIND OF TRUCK
5,11,29,57,203,0.018183,1,1,1,300,1, , , , , ,F22,Merce varia,2019,3,3040762,COL,FIV SRL,PARC,13400,FR,F22,2019,1,38945,AUTOTRENO
1,80,80,160,419,1.024,1,1,1,1100,1, , , , , ,F22,Merce varia,2019,3,3040764,COL,FIV SRL,ROYA CHAUFFAGE ENERGIES,6540,FR,F22,2019,1,38945,AUTOTRENO
1,80,80,180,419,1.152,1,1,1,1100,1, , , , , ,F22,Merce varia,2019,3,3040764,COL,FIV SRL,ROYA CHAUFFAGE ENERGIES,6540,FR,F22,2019,1,38945,AUTOTRENO
1,80,80,110,419,0.704,1,1,1,1100,1, , , , , ,F22,Merce varia,2019,3,3040764,COL,FIV SRL,ROYA CHAUFFAGE ENERGIES,6540,FR,F22,2019,1,38945,AUTOTRENO
7,400,15,15,419,0.09,1,1,1,1100,1, , , , , ,F22,Merce varia,2019,3,3040764,COL,FIV SRL,ROYA CHAUFFAGE ENERGIES,6540,FR,F22,2019,1,38945,AUTOTRENO
1,75,75,205,154,1.153125,1,1,1,400,1, , , , , ,F22,Merce varia,2019,4,4040182,PAL,SCAIOLA SRL,marc mottart,6110,FR,F22,2019,1,38945,AUTOTRENO
1,60,80,100,210,0.48,1,1,3,300,0, , , , , ,F22,Merce varia,2019,1,205505,FUS,LUVITRANS,SOCIETE GRASSOISE DE PARF MERIE,6130,FR,F22,0,0,0,
2,106,62,117,100,0.768924,1,1,3,500,0, , , , , ,F22,Merce varia,2019,4,4041386,COL,METALCARRELLI SRL,TOURNAIRE SA,6131,FR,F22,0,0,0,
1,60,80,82,28,0.3936,1,1,3,200,0, , , , , ,F22,articoli enologia,2019,7,7026723,PLT,POLSINELLI ENOLOGIA S.R.L.,Loisel Didier**IMPERATIVE BOOKING**,6250,FR,F22,0,0,0,
1,80,80,98,97,0.6272,1,1,3,200,0, , , , , ,F22,articoli enologia,2019,7,7026733,PLT,POLSINELLI ENOLOGIA S.R.L.,Granier-Guillevic**IMPERATIVE BOOKING**,34310,FR,F22,0,0,0,
1,80,120,100,159,0.96,1,1,3,300,0, , , , , ,F22,Arredamento,2019,7,7026737,PLT,NIC SRL ,MONACO LOGISTICHE,98000,FR,F22,0,0,0,
1,80,70,55,24.4,0.308,1,1,3,100,0, , , , , ,F22,SANITARI,2019,7,7026781,PLT,CERAMICA FLAMINIA SPA,SOL & EAU,13540,FR,F22,0,0,0,
